,Tweet_ID,Converted_Timestamp,Tweet_Counter,Tweeter,Text,Compound_Score,Positive_Score,Neutral_Score,Negative_Score
0,982662688546451457,2018-04-07 16:53:36+00:00,0,BBC News (World),Israel to investigate killing of Palestinian journalist https://t.co/8kudrlTVuS,-0.6597,0.0,0.614,0.386
1,982648523849072642,2018-04-07 15:57:19+00:00,-1,BBC News (World),Lula to surrender to police https://t.co/ksRE4gjgAA,0.0,0.0,1.0,0.0
2,982636766397173760,2018-04-07 15:10:36+00:00,-2,BBC News (World),Prince of Wales gets new chief title in ceremony on South Pacific island of Vanuatu https://t.co/z1jSGRh4Hm,0.0,0.0,1.0,0.0
3,982635968325877760,2018-04-07 15:07:25+00:00,-3,BBC News (World),"RT @BBCBreaking: German Police say they believe there are several fatalities and around 30 people injured. 
https://t.co/Wgi0DBsyZS",-0.765,0.0,0.694,0.306
4,982631643625213952,2018-04-07 14:50:14+00:00,-4,BBC News (World),Van drives into pedestrians in Germany https://t.co/0xtrQps5IL,0.0,0.0,1.0,0.0
5,982630609678946306,2018-04-07 14:46:08+00:00,-5,BBC News (World),RT @BBCBreaking: Reports of casualties in Germany after van drives into pedestrians in city of Muenster https://t.co/OVOrbRHYEF,0.0,0.0,1.0,0.0
6,982629404181520384,2018-04-07 14:41:20+00:00,-6,BBC News (World),The migrant caravan from Central America travelling north https://t.co/gOwYZhuDUy,0.0,0.0,1.0,0.0
7,982618648887128066,2018-04-07 13:58:36+00:00,-7,BBC News (World),"RT @BBCSport: A young French footballer has died at just 18 years old.

Le Havre are in mourning over defender Samba Diop.
? https://t.co/Q…",-0.7269,0.052,0.706,0.242
8,982591829534265344,2018-04-07 12:12:02+00:00,-8,BBC News (World),Facebook suspends AIQ data firm used by Vote Leave in Brexit campaign https://t.co/FchzO29YDp,-0.0516,0.0,0.909,0.091
9,982590441941020672,2018-04-07 12:06:31+00:00,-9,BBC News (World),Prince Charles gets new Chief title on Vanuatu https://t.co/tEMQkCyOwB,0.0,0.0,1.0,0.0
10,982588902610472960,2018-04-07 12:00:24+00:00,-10,BBC News (World),Samba Diop: Le Havre defender dies aged 18 https://t.co/kCM7X5U7Fk,0.1027,0.149,0.851,0.0
11,982588900857335809,2018-04-07 12:00:24+00:00,-11,BBC News (World),Grass skirt in Vanuatu for 'high chief' Prince Charles https://t.co/B9mEo6ShFQ,0.0,0.0,1.0,0.0
12,982585104051658757,2018-04-07 11:45:19+00:00,-12,BBC News (World),Mexico's president @EPN quotes JFK during national broadcast addressed to @realDonaldTrump https://t.co/8IbnhGiScP,0.0,0.0,1.0,0.0
13,982578046782894080,2018-04-07 11:17:16+00:00,-13,BBC News (World),Lula: Brazil ex-president's police stand-off https://t.co/Gro8VHwqUe,0.0,0.0,1.0,0.0
14,982568485908832256,2018-04-07 10:39:16+00:00,-14,BBC News (World),Mexico to Trump: Don't take your 'frustrations' out on us https://t.co/xFKKRqVkWE,0.0,0.0,1.0,0.0
15,982566247635324928,2018-04-07 10:30:23+00:00,-15,BBC News (World),RT @BBCIndia: Huge crowds who braved scorching temperatures to gather outside the court started dancing and shouted slogans once they heard…,0.6369,0.215,0.785,0.0
16,982561883218677761,2018-04-07 10:13:02+00:00,-16,BBC News (World),"Salman Khan, Bollywood superstar, bailed in poaching case https://t.co/nXoRkeloES",0.0,0.0,1.0,0.0
17,982541248572608512,2018-04-07 08:51:03+00:00,-17,BBC News (World),Russell Crowe 'divorce auction': Memorabilia up for grabs in Sydney https://t.co/kWq0PCTeLP,0.0,0.0,1.0,0.0
18,982521665597865984,2018-04-07 07:33:14+00:00,-18,BBC News (World),Millions watch extreme eating Korean mukbang star https://t.co/wpyDBBAAHH,0.0,0.0,1.0,0.0
19,982500979525419009,2018-04-07 06:11:02+00:00,-19,BBC News (World),Canada crash: Fatalities as junior hockey team's bus and lorry collide https://t.co/maMBAttjt8,-0.7845,0.0,0.533,0.467
20,982476972835164165,2018-04-07 04:35:38+00:00,-20,BBC News (World),Trump immigration: Texas sends National Guard to Mexico border https://t.co/tPfoQHNmiC,0.0,0.0,1.0,0.0
21,982467432362184704,2018-04-07 03:57:43+00:00,-21,BBC News (World),Vietnam rescue dog gives new owner slip in Paris https://t.co/STYop10ASH,0.5106,0.268,0.732,0.0
22,982423164797030400,2018-04-07 01:01:49+00:00,-22,BBC News (World),Masters 2018: Patrick Reed two ahead at halfway stage https://t.co/uaoUk3l8Dt,0.0,0.0,1.0,0.0
23,982414724225748993,2018-04-07 00:28:17+00:00,-23,BBC News (World),Molly Ringwald: The Breakfast Club star 'troubled' by hit film https://t.co/7203aQtw3y,0.0,0.0,1.0,0.0
24,982409302571978752,2018-04-07 00:06:44+00:00,-24,BBC News (World),Viktor Orban: Hungary's nationalist PM eyes third term https://t.co/ovz0AW6yIj,0.0,0.0,1.0,0.0
25,982399694499385345,2018-04-06 23:28:33+00:00,-25,BBC News (World),Anna Chennault: 'Steel butterfly' who charmed US and China https://t.co/nkUPRi4iwh,0.4588,0.25,0.75,0.0
26,982398099455963139,2018-04-06 23:22:13+00:00,-26,BBC News (World),Week in pictures: 31 March - 6 April 2018 https://t.co/EeMNhTtOxp,0.0,0.0,1.0,0.0
27,982380993955889152,2018-04-06 22:14:15+00:00,-27,BBC News (World),Bosnia: Cable car in Sarajevo reopens after 26 years https://t.co/1DIOqlscNP,0.0,0.0,1.0,0.0
